,datetime,tweet_Id,text,Username
30,2022-03-25 14:32:27+00:00,1507364794801790986,"Let get your financial freedom from you #horriblebosses via our betweysure premium subscription 

Join our telegram channel to find out more https://t.co/S2sfg1iN2c https://t.co/3ByIkZrJup",BetweysureTips
31,2022-03-25 14:25:00+00:00,1507362920925122577,What I cannot imagine since joining @Expertnaire is running to somebody's office like  🙏 thank good its Friday  #HorribleBosses https://t.co/YU84f7Fma4,Sweethe35763329
32,2022-03-25 13:51:12+00:00,1507354416332038148,"Actively apply for jobs but do not be too desperate and ‘settle’ so you do not find yourself in a worse situation.
In conclusion, remember that prioritizing your emotional health is important.

#TDL #horriblebosses. #recruitmentprocessoutsourcing #recruitment #totaldataltd",totaldata_ltd
33,2022-03-25 13:31:11+00:00,1507349379144949761,"#HorribleBosses is a good start.
Would we also call out  horrible employees and Horrible services ?

#speaktruthtopower #speaktruthtoourselves",Sadiq_Cyrus
34,2022-03-25 13:17:31+00:00,1507345939010306051,Stream 》#MyToxicTrait by #HXE (@HXXUEXX) Available on all streaming platforms. #nsfwtwt #HorribleBosses https://t.co/hAYgUK0YiU,RedFlagHxe
35,2022-03-25 12:59:52+00:00,1507341494574886913,"#HorribleBosses And #ToxicWorkplaces: How Employees Are Fighting Back

https://t.co/4N64G0iYEJ",techuncode
36,2022-03-25 12:51:48+00:00,1507339465756454913,"When I am completely satisfied with my process, I'd give my take #HorribleBosses",Laz687
37,2022-03-25 12:51:22+00:00,1507339356889038851,"The #HorribleBosses discussion that went on a few days ago is just proof that at least, I'm doing something right presently in my life.

I had my own experience with Nigerian employers but it isn't near any of the things I read here.",oluwatosinsteam
38,2022-03-25 12:49:00+00:00,1507338760920391684,"The #HorribleBosses story was quite elaborate and made people working in other companies tell tales of verbal abuse, employers breaking employment laws through indiscriminate termination of employment.
https://t.co/o4P7h1nnft",technextdotng
39,2022-03-25 12:40:31+00:00,1507336627043160065,"@cruel_Dvil Maybe the #HorribleBosses thing got to him, especially since they did the Nollywood episode and people were exposing industry people.",cruisebaba
40,2022-03-25 12:36:38+00:00,1507335651280269312,#HorribleBosses https://t.co/mZnJQ2urdD,Kolly_tente
41,2022-03-25 12:31:13+00:00,1507334288034963456,Did you see our latest blog? https://t.co/uPecORUhAQ #Leadership #HorribleBosses #JustASK,askeuropeplc
42,2022-03-25 12:26:43+00:00,1507333154213965829,"Oga is on vacation with the love of his life and he hasn't paid my February salary! March will end in 6days o

#HorribleBosses #terribleboss #inhumaneperson https://t.co/REQVvDKHei",OlawomoOladoyin
43,2022-03-25 12:22:37+00:00,1507332120280289306,"Not everyone will like you that's fine,not every child likes ice cream
#HorribleBosses",mikeljohn580
44,2022-03-25 12:20:34+00:00,1507331606775844885,"Notice how nobody that works in HR came to speak about #HorribleBosses 
Enablers tend to shy away from the conversations that point to them and their wrong doings.",HayesLikeIssac
45,2022-03-25 12:08:38+00:00,1507328602899193861,@ebukaagbara #HorribleBosses,ChezChedo
46,2022-03-25 11:44:59+00:00,1507322652393975808,#HorribleBosses: CIPM to activate regulatory measures against unfair labour practices | TheCable https://t.co/aqeHngKNyz https://t.co/anigVABm8Y,thecableng
47,2022-03-25 11:30:05+00:00,1507318899821395980,New post: Social media roundup: #HorribleBosses in tech are under fire! https://t.co/o4P7h1nnft,technextdotng
48,2022-03-25 11:18:39+00:00,1507316025133617155,"Lmfaooo! I’ve not even started with this man , neither am I done exposing him and he’s already shaking 😂😂😂

#HorribleBosses #toxicworkplace #AjibolaBamidelewillsoonbeexposed",toaf13
49,2022-03-25 11:05:32+00:00,1507312725151686656,#horriblebosses #toxicworkspace https://t.co/CjTQ0cl5hn,EPStudio_media
50,2022-03-25 11:02:55+00:00,1507312066750787585,#Horriblebosses: Gideon Okeke Calls Out Filmmaker Frank Rajah For Allegedly Owing Him Half A Million Naira https://t.co/W216aMPAzo,iniedo34570835
51,2022-03-25 11:02:52+00:00,1507312053245075470,#Horriblebosses: Gideon Okeke Calls Out Filmmaker Frank Rajah For Allegedly Owing Him Half A Million Naira https://t.co/iSsZxRGvJz,OfvicialF
52,2022-03-25 11:00:01+00:00,1507311336702816256,Social media is powerful!!? #HorribleBosses https://t.co/VpeevQyaQ9,xwtnyx
53,2022-03-25 10:56:32+00:00,1507310459942277120,What I sensed from all the #HorribleBosses apology messages. https://t.co/p1NX7kpByo,JosephineAvid
54,2022-03-25 10:37:43+00:00,1507305722387783690,@iamUncleMark @iamJohnwinner Dem go soon tag you #HorribleBosses 🙄,ckelvin0911
55,2022-03-25 10:36:26+00:00,1507305399363461135,"Absolutely disgusting!
#boycottapplebees
#boycott
#HorribleBosses https://t.co/JVRpAwQF7Y",gqpwaronwomen
56,2022-03-25 10:35:52+00:00,1507305257860276227,"@Applebees just HOW DISGUSTING are you and how low is low enough for the POS Corp that you are??
I see you, WE ALL see you now!
#boycottapplebees
#boycott
#HorribleBosses",gqpwaronwomen
